horse_id,horse_name,horse_expected_top3_rate,prev_finish,prev_last_3f,prev_odds,prev_popularity,prev_race_date,prev_jockey_id
2007105729,ダンツフローラ,0.10557581771446366,9.0,37.3,378.1,13,2010-01-24,01063
2006102863,イネオレオ,0.10557581771446366,6.0,35.6,3.7,2,2010-01-24,00700
2006100490,アフリートカラー,0.10557581771446366,12.0,38.6,256.3,13,2010-01-24,01119
2007102608,カガヤキビアンカ,0.10557581771446366,17.0,36.3,688.7,17,2010-01-24,01004
2007105630,モクセイ,0.10557581771446366,15.0,40.3,97.6,13,2010-01-24,01043
2007100602,ダイワミステリアス,0.10557581771446366,18.0,37.3,739.2,18,2010-01-24,01054
2005106316,リッカビクトリー,0.10557581771446366,16.0,38.0,241.1,16,2010-01-24,00836
2006103565,エフケーアスコット,0.10557581771446366,9.0,38.4,334.7,14,2010-01-24,01029
2007104498,ケイアイブレイズ,0.10557581771446366,14.0,44.4,30.7,7,2010-01-24,00641
2005106138,クリノポップコーン,0.0,11.0,35.9,332.1,12,2010-01-24,01029
2003103014,フォーリクラッセ,0.10557581771446366,,,201.9,12,2010-01-24,01026
2007102178,シゲルケイジロウ,0.0,13.0,42.1,302.0,12,2010-01-24,00652
2007106320,タクシー,0.0,8.0,39.3,68.1,8,2010-01-24,00732
2006105123,ハヤテヤブサメオー,0.10557581771446366,14.0,37.7,404.1,16,2010-01-24,01046
2004104078,エムアイティアラ,0.10557581771446366,6.0,38.0,20.0,7,2010-01-24,01077
2005103075,ラプレ,0.10557581771446366,12.0,39.2,167.9,12,2010-01-24,00689
2001110042,ロードレンジャー,0.10557581771446366,10.0,36.7,44.1,10,2010-01-24,01118
2007102228,コウユーシンデレラ,0.10557581771446366,6.0,40.1,15.9,5,2010-01-24,01095
2004102748,タガノプルミエール,0.10557581771446366,16.0,38.2,6.7,4,2010-01-24,00714
2007101861,ミルクアーモンド,0.10557581771446366,13.0,40.3,50.5,8,2010-01-24,00689
2004103968,ブラックティー,0.10557581771446366,3.0,37.2,47.4,10,2010-01-24,00652
2007101597,キャニオンシュネル,0.10557581771446366,14.0,38.8,97.7,11,2010-01-24,01062
2003100463,スーパーマルトク,0.10557581771446366,7.0,34.1,186.7,16,2010-01-24,01057
2007105063,フジノボーガン,0.10557581771446366,12.0,41.3,479.0,15,2010-01-24,00734
2003100568,ユウタージパング,0.10557581771446366,18.0,36.9,34.8,10,2010-01-24,00709
2007103944,ポライトマン,0.10557581771446366,14.0,36.4,439.5,16,2010-01-24,05022
2007104175,ビバアンアン,0.10557581771446366,13.0,38.6,150.9,10,2010-01-24,05203
2007102280,スマイルミリオン,0.10557581771446366,10.0,38.7,257.9,14,2010-01-24,01087
2007101223,マイネルデアリング,0.10557581771446366,7.0,40.4,29.6,7,2010-01-24,01085
2007101150,ドクトルファレノ,0.10557581771446366,16.0,37.5,435.9,15,2010-01-24,01104
2005105321,チャームマロン,0.10557581771446366,12.0,38.1,136.1,12,2010-01-24,01099
2007104326,テイエムネルヴァ,0.0,15.0,39.1,76.1,8,2010-01-24,00705
2002109448,ホエールシャーク,0.10557581771446366,16.0,33.6,137.8,15,2010-01-24,05223
2007101157,ペブルビーチ,0.10557581771446366,15.0,43.0,93.6,10,2010-01-24,01102
2007106435,マイネルタクティク,0.10557581771446366,9.0,35.6,290.1,12,2010-01-24,01111
2004102857,ケアレスウィスパー,0.0,7.0,36.7,20.1,8,2010-01-30,01003
2006106114,マチカネセキガハラ,0.0,12.0,39.9,18.3,5,2010-01-30,01123
2002105581,シベリアンライオン,0.0,14.0,38.4,281.4,14,2010-01-30,00712
2006110062,ケイアイダイコク,0.10557581771446366,11.0,37.9,7.8,4,2010-01-30,05203
2005109317,ディフュージョン,0.0,7.0,38.0,31.1,9,2010-01-30,01096
2007105522,アイキボウユウキ,0.10557581771446366,15.0,41.8,17.0,7,2010-01-30,01122
2003100054,マイスターキング,0.10557581771446366,11.0,34.4,302.5,12,2010-01-30,00733
2006106166,リロ,0.10557581771446366,15.0,40.6,200.5,15,2010-01-30,01077
2007104551,キタサンエタニティ,0.0,8.0,40.3,370.5,12,2010-01-30,00674
2007104363,トワノロジータ,0.10557581771446366,16.0,44.5,506.9,16,2010-01-30,01095
2007106784,タツフラワー,0.0,8.0,39.1,323.2,14,2010-01-30,05243
2005101224,シデンカイ,0.0,14.0,37.3,295.2,17,2010-01-30,01113
2004102294,キョウエイタキオン,0.10557581771446366,11.0,34.7,138.6,14,2010-01-30,00734
2002110076,セイウンプレジャー,1.0,,,,2,2010-01-30,05243
